website,rel,type,title,href,id
http://blog.revolutionanalytics.com/,alternate,application/atom+xml,Posts on 'Revolutions' (Atom),http://blog.revolutionanalytics.com/atom.xml,NA
http://blog.revolutionanalytics.com/,alternate,application/rss+xml,Posts on 'Revolutions' (RSS 1.0),http://blog.revolutionanalytics.com/index.rdf,NA
http://blog.revolutionanalytics.com/,alternate,application/rss+xml,Posts on 'Revolutions' (RSS 2.0),http://blog.revolutionanalytics.com/rss.xml,NA
https://research.googleblog.com/,alternate,application/atom+xml,Research Blog - Atom,https://research.googleblog.com/feeds/posts/default,NA
https://research.googleblog.com/,alternate,application/rss+xml,Research Blog - RSS,https://research.googleblog.com/feeds/posts/default?alt=rss,NA
https://waterprogramming.wordpress.com/,alternate,application/rss+xml,Water Programming: A Collaborative Research Blog » Feed,https://waterprogramming.wordpress.com/feed/,NA
https://waterprogramming.wordpress.com/,alternate,application/rss+xml,Water Programming: A Collaborative Research Blog » Comments Feed,https://waterprogramming.wordpress.com/comments/feed/,NA
http://doingbayesiandataanalysis.blogspot.jp/,alternate,application/atom+xml,Doing Bayesian Data Analysis - Atom,http://doingbayesiandataanalysis.blogspot.com/feeds/posts/default,NA
http://doingbayesiandataanalysis.blogspot.jp/,alternate,application/rss+xml,Doing Bayesian Data Analysis - RSS,http://doingbayesiandataanalysis.blogspot.com/feeds/posts/default?alt=rss,NA
http://blog.kaggle.com/,alternate,application/rss+xml,No Free Hunch » Feed,http://blog.kaggle.com/feed/,NA
http://blog.kaggle.com/,alternate,application/rss+xml,No Free Hunch » Comments Feed,http://blog.kaggle.com/comments/feed/,NA
http://fastml.com/,alternate,application/atom+xml,FastML,/atom.xml,NA
http://syclik.com/,alternate,application/rss+xml,RSS,/atom.xml,NA
https://xianblog.wordpress.com/,alternate,application/rss+xml,Xi'an's Og » Feed,https://xianblog.wordpress.com/feed/,NA
https://xianblog.wordpress.com/,alternate,application/rss+xml,Xi'an's Og » Comments Feed,https://xianblog.wordpress.com/comments/feed/,NA
